,predictions,,,,,19/09/19 06:45
651,2,,,,,
652,2,,,,,
653,2,,,,,
654,2,,,,,
655,2,,,,,
656,2,,,,,
657,2,,,,,
658,1,,,,,
659,1,,,,,
660,1,,,,,
661,2,,,,,
662,2,,,,,
663,1,,,,,
664,0,,,,,
665,0,,,,,
666,1,,,,,
667,1,,,,,
668,1,,,,,
669,1,,,,,
670,1,,,,,
671,1,,,,,
672,1,,,,,
673,1,,,,,
674,1,,,,,
675,1,,,,,
676,1,,,,,
677,1,,,,,
678,1,,,,,
679,1,,,,,
680,1,,,,,
681,1,,,,,
682,1,,,,,
683,1,,,,,
684,1,,,,,
685,1,,,,,
686,1,,,,,
687,1,,,,,
688,1,,,,,
689,1,,,,,
690,1,,,,,
691,1,,,,,
692,1,,,,,
693,1,,,,,
694,1,,,,,
695,1,,,,,
696,1,,,,,
697,1,,,,,
698,1,,,,,
699,1,,,,,
700,1,,,,,
701,1,,,,,
702,1,,,,,
703,1,,,,,
704,1,,,,,
705,1,,,,,
706,1,,,,,
707,1,,,,,
708,1,,,,,
709,1,,,,,
710,1,,,,,
711,1,,,,,
712,1,,,,,
713,1,,,,,
714,1,,,,,
715,1,,,,,
716,1,,,,,
717,1,,,,,
718,1,,,,,
719,1,,,,,
720,1,,,,,
721,1,,,,,
722,2,,,,,
723,2,,,,,
724,2,,,,,
725,2,,,,,
726,2,,,,,
727,2,,,,,
728,1,,,,,
729,1,,,,,
730,0,,,,,
731,2,,,,,
732,0,,,,,
733,0,,,,,
734,2,,,,,
735,2,,,,,
736,2,,,,,
737,2,,,,,
738,2,,,,,
739,2,,,,,
740,2,,,,,
741,2,,,,,
742,2,,,,,
743,2,,,,,
744,2,,,,,
745,2,,,,,
746,2,,,,,
747,2,,,,,
748,2,,,,,
749,2,,,,,
750,2,,,,,
751,2,,,,,
752,2,,,,,
753,2,,,,,
754,2,,,,,
755,2,,,,,
756,2,,,,,
757,2,,,,,
758,2,,,,,
759,2,,,,,
760,2,,,,,
761,2,,,,,
762,2,,,,,
763,2,,,,,
764,2,,,,,
765,2,,,,,
766,2,,,,,
767,2,,,,,
768,2,,,,,
769,2,,,,,
770,0,,,,,
771,1,,,,,
772,1,,,,,
773,1,,,,,
774,1,,,,,
775,1,,,,,
776,1,,,,,
777,1,,,,,
778,1,,,,,
779,1,,,,,
780,1,,,,,
781,1,,,,,
782,1,,,,,
783,1,,,,,
784,1,,,,,
785,1,,,,,
786,1,,,,,
787,1,,,,,
788,1,,,,,
789,1,,,,,
790,1,,,,,
791,1,,,,,
792,1,,,,,
793,1,,,,,
794,1,,,,,
795,1,,,,,
796,1,,,,,
797,1,,,,,
798,1,,,,,
799,1,,,,,
800,1,,,,,
801,1,,,,,
802,1,,,,,
803,1,,,,,
804,1,,,,,
805,1,,,,,
806,1,,,,,
807,1,,,,,
808,1,,,,,
809,1,,,,,
810,1,,,,,
811,1,,,,,
812,1,,,,,
813,1,,,,,
814,1,,,,,
815,1,,,,,
816,1,,,,,
817,1,,,,,
818,1,,,,,
819,1,,,,,
820,1,,,,,
821,1,,,,,
822,1,,,,,
823,1,,,,,
824,1,,,,,
825,1,,,,,
826,1,,,,,
827,1,,,,,
828,1,,,,,
829,1,,,,,
830,1,,,,,
831,1,,,,,
832,1,,,,,
833,1,,,,,
834,1,,,,,
835,1,,,,,
836,1,,,,,
837,2,,,,,
838,2,,,,,
839,2,,,,,
840,2,,,,,
841,2,,,,,
842,2,,,,,
843,2,,,,,
844,2,,,,,
845,0,,,,,
846,2,,,,,
847,2,,,,,
848,2,,,,,
849,0,,,,,
850,2,,,,,
851,2,,,,,
852,2,,,,,
853,0,,,,,
854,2,,,,,
855,2,,,,,
856,2,,,,,
857,2,,,,,
858,2,,,,,
859,1,,,,,
860,1,,,,,
861,1,,,,,
862,1,,,,,
863,1,,,,,
864,1,,,,,
865,1,,,,,
866,1,,,,,
867,1,,,,,
868,1,,,,,
869,1,,,,,
870,1,,,,,
871,1,,,,,
872,1,,,,,
873,1,,,,,
874,1,,,,,
875,1,,,,,
876,1,,,,,
877,1,,,,,
878,1,,,,,
879,1,,,,,
880,1,,,,,
881,1,,,,,
882,1,,,,,
883,1,,,,,
884,1,,,,,
885,1,,,,,
886,1,,,,,
887,1,,,,,
888,0,,,,,
889,1,,,,,
890,1,,,,,
891,1,,,,,
892,1,,,,,
893,1,,,,,
894,1,,,,,
895,1,,,,,
896,1,,,,,
897,2,,,,,
898,2,,,,,
899,2,,,,,
900,2,,,,,
901,2,,,,,
902,2,,,,,
903,2,,,,,
904,2,,,,,
905,2,,,,,
906,2,,,,,
907,2,,,,,
908,2,,,,,
909,2,,,,,
910,2,,,,,
911,2,,,,,
912,2,,,,,
913,2,,,,,
914,2,,,,,
915,2,,,,,
916,2,,,,,
917,2,,,,,
918,2,,,,,
919,2,,,,,
920,2,,,,,
921,2,,,,,
922,2,,,,,
923,2,,,,,
924,2,,,,,
925,2,,,,,
926,2,,,,,
927,2,,,,,
928,2,,,,,
929,2,,,,,
930,2,,,,,
931,2,,,,,
932,2,,,,,
933,2,,,,,
934,2,,,,,
935,1,,,,,
936,1,,,,,
937,0,,,,,
938,0,,,,,
939,1,,,,,
940,1,,,,,
941,1,,,,,
942,1,,,,,
943,1,,,,,
944,1,,,,,
945,1,,,,,
946,1,,,,,
947,1,,,,,
948,1,,,,,
949,1,,,,,
950,1,,,,,
951,1,,,,,
952,1,,,,,
953,1,,,,,
954,1,,,,,
955,1,,,,,
956,1,,,,,
957,2,,,,,
958,2,,,,,
959,2,,,,,
960,2,,,,,
961,2,,,,,
962,2,,,,,
963,2,,,,,
964,2,,,,,
965,2,,,,,
966,2,,,,,
967,2,,,,,
968,2,,,,,
969,2,,,,,
970,2,,,,,
971,2,,,,,
972,2,,,,,
973,2,,,,,
974,2,,,,,
975,2,,,,,
976,2,,,,,
977,2,,,,,
978,2,,,,,
979,2,,,,,
980,2,,,,,
981,2,,,,,
982,2,,,,,
983,2,,,,,
984,2,,,,,
985,2,,,,,
986,2,,,,,
987,2,,,,,
988,2,,,,,
989,1,,,,,
990,1,,,,,
991,1,,,,,
992,1,,,,,
993,1,,,,,
994,1,,,,,
995,1,,,,,
996,1,,,,,
997,1,,,,,
998,1,,,,,
999,1,,,,,
1000,1,,,,,
1001,1,,,,,
1002,1,,,,,
1003,1,,,,,
1004,1,,,,,
1005,1,,,,,
1006,1,,,,,
1007,1,,,,,
1008,1,,,,,
1009,1,,,,,
1010,1,,,,,
1011,1,,,,,
1012,1,,,,,
1013,1,,,,,
1014,1,,,,,
1015,1,,,,,
1016,1,,,,,
1017,1,,,,,
1018,1,,,,,
1019,1,,,,,
1020,1,,,,,
1021,1,,,,,
1022,1,,,,,
1023,1,,,,,
1024,1,,,,,
1025,1,,,,,
1026,1,,,,,
1027,1,,,,,
1028,1,,,,,
1029,1,,,,,
1030,1,,,,,
1031,1,,,,,
1032,1,,,,,
1033,1,,,,,
1034,1,,,,,
1035,1,,,,,
1036,1,,,,,
1037,0,,,,,
1038,1,,,,,
1039,1,,,,,
1040,1,,,,,
1041,2,,,,,
1042,2,,,,,
1043,2,,,,,
1044,2,,,,,
1045,1,,,,,
1046,2,,,,,
1047,2,,,,,
1048,2,,,,,
1049,2,,,,,
1050,2,,,,,
1051,2,,,,,
1052,2,,,,,
1053,2,,,,,
1054,1,,,,,
1055,1,,,,,
1056,1,,,,,
1057,1,,,,,
1058,1,,,,,
1059,1,,,,,
1060,1,,,,,
1061,0,,,,,
1062,1,,,,,
1063,1,,,,,
1064,1,,,,,
1065,1,,,,,
1066,0,,,,,
1067,0,,,,,
1068,1,,,,,
1069,1,,,,,
1070,1,,,,,
1071,1,,,,,
1072,1,,,,,
1073,1,,,,,
1074,1,,,,,
1075,1,,,,,
1076,1,,,,,
1077,1,,,,,
1078,1,,,,,
1079,1,,,,,
1080,1,,,,,
1081,1,,,,,
1082,1,,,,,
1083,2,,,,,
1084,1,,,,,
1085,2,,,,,
1086,2,,,,,
1087,1,,,,,
1088,1,,,,,
1089,2,,,,,
1090,2,,,,,
1091,2,,,,,
1092,1,,,,,
1093,1,,,,,
1094,1,,,,,
1095,1,,,,,
1096,1,,,,,
1097,1,,,,,
1098,1,,,,,
1099,1,,,,,
1100,1,,,,,
1101,1,,,,,
1102,1,,,,,
1103,1,,,,,
1104,1,,,,,
1105,1,,,,,
1106,1,,,,,
1107,1,,,,,
1108,0,,,,,
1109,1,,,,,
1110,1,,,,,
1111,1,,,,,
1112,1,,,,,
1113,1,,,,,
1114,1,,,,,
1115,1,,,,,
1116,1,,,,,
1117,1,,,,,
1118,1,,,,,
1119,1,,,,,
1120,1,,,,,
1121,1,,,,,
1122,1,,,,,
1123,1,,,,,
1124,1,,,,,
1125,1,,,,,
1126,1,,,,,
1127,1,,,,,
1128,1,,,,,
1129,1,,,,,
1130,1,,,,,
1131,1,,,,,
1132,1,,,,,
1133,1,,,,,
1134,1,,,,,
1135,1,,,,,
1136,1,,,,,
1137,1,,,,,
1138,1,,,,,
1139,1,,,,,
1140,1,,,,,
1141,1,,,,,
1142,1,,,,,
1143,1,,,,,
1144,1,,,,,
1145,1,,,,,
1146,1,,,,,
1147,1,,,,,
1148,1,,,,,
1149,1,,,,,
1150,1,,,,,
1151,1,,,,,
1152,1,,,,,
1153,1,,,,,
1154,1,,,,,
1155,1,,,,,
1156,1,,,,,
1157,1,,,,,
1158,1,,,,,
1159,1,,,,,
1160,1,,,,,
1161,1,,,,,
1162,1,,,,,
1163,1,,,,,
1164,1,,,,,
1165,1,,,,,
1166,1,,,,,
1167,1,,,,,
1168,1,,,,,
1169,1,,,,,
1170,1,,,,,
1171,1,,,,,
1172,1,,,,,
1173,1,,,,,
1174,1,,,,,
1175,1,,,,,
1176,1,,,,,
1177,1,,,,,
1178,1,,,,,
1179,1,,,,,
1180,1,,,,,
1181,1,,,,,
1182,1,,,,,
1183,1,,,,,
1184,1,,,,,
1185,1,,,,,
1186,1,,,,,
1187,1,,,,,
1188,1,,,,,
1189,1,,,,,
1190,1,,,,,
1191,1,,,,,
1192,1,,,,,
1193,1,,,,,
1194,1,,,,,
1195,1,,,,,
1196,1,,,,,
1197,1,,,,,
1198,0,,,,,
1199,0,,,,,
1200,2,,,,,
1201,2,,,,,
1202,2,,,,,
1203,2,,,,,
1204,2,,,,,
1205,2,,,,,
1206,2,,,,,
1207,2,,,,,
1208,2,,,,,
1209,2,,,,,
1210,2,,,,,
1211,0,,,,,
1212,0,,,,,
1213,0,,,,,
1214,0,,,,,
1215,2,,,,,
1216,2,,,,,
1217,2,,,,,
1218,2,,,,,
1219,2,,,,,
1220,2,,,,,
1221,2,,,,,
1222,2,,,,,
1223,2,,,,,
1224,2,,,,,
1225,2,,,,,
1226,2,,,,,
1227,2,,,,,
1228,2,,,,,
1229,2,,,,,
1230,2,,,,,
1231,2,,,,,
1232,2,,,,,
1233,2,,,,,
1234,2,,,,,
1235,2,,,,,
1236,2,,,,,
